"codibge","Município","2012","2013","2014","2015","2016","2017","2018"
"1506138","Redenção (PA)","965208","1096384","1317862","1467916","1645578","1700741","1802562"
"1506161","Rio Maria (PA)","228291","266214","304399","360821","407471","476846","479451"
"1506187","Rondon do Pará (PA)","342576","394626","469637","481472","518442","520484","531904"
"1506195","Rurópolis (PA)","180425","229974","256946","287612","341999","359162","350354"
"1506203","Salinópolis (PA)","291863","277429","309296","348010","414191","425035","470392"
"1506302","Salvaterra (PA)","100369","113111","122809","143257","151543","165814","174981"
"1506351","Santa Bárbara do Pará (PA)","114531","102605","122116","132624","146746","165777","172363"
"1506401","Santa Cruz do Arari (PA)","52165","50839","53013","61148","63800","68177","68962"
"1506500","Santa Izabel do Pará (PA)","413979","506488","552910","609611","630492","718745","757959"
"1506559","Santa Luzia do Pará (PA)","93921","112233","125055","138283","144186","164124","163153"
"1506583","Santa Maria das Barreiras (PA)","159444","195215","201980","250099","297680","375755","379858"
"1506609","Santa Maria do Pará (PA)","201877","283608","233693","203834","268294","310568","383892"
"1506708","Santana do Araguaia (PA)","423595","515231","590433","686482","762198","803619","843573"
"1506807","Santarém (PA)","3255042","3433607","3785536","3970093","4574029","4835996","4858971"
"1506906","Santarém Novo (PA)","30148","39090","38573","39878","47275","41026","45157"
"1507003","Santo Antônio do Tauá (PA)","162292","189069","247494","297319","315291","344070","367039"
"1507102","São Caetano de Odivelas (PA)","88454","106262","106421","114215","119022","131227","142310"
"1507151","São Domingos do Araguaia (PA)","144470","160958","177494","220134","251103","272450","281019"
"1507201","São Domingos do Capim (PA)","188725","267101","229971","247892","315599","309229","267173"
"1507300","São Félix do Xingu (PA)","732394","879870","1029712","1212882","1414834","1392878","1395724"
"1507409","São Francisco do Pará (PA)","93222","181684","168388","165795","193474","204146","234070"
"1507458","São Geraldo do Araguaia (PA)","258913","246521","290862","312905","379311","441677","490326"
"1507466","São João da Ponta (PA)","28351","29906","35327","37866","39629","42207","44645"
"1507474","São João de Pirabas (PA)","94878","121857","127633","131343","146869","158977","164400"
"1507508","São João do Araguaia (PA)","78229","89686","91686","104666","109837","116992","122342"
"1507607","São Miguel do Guamá (PA)","395579","587290","557171","560272","661640","668061","676253"
"1507706","São Sebastião da Boa Vista (PA)","131520","153981","164857","169416","176914","206893","209263"
"1507755","Sapucaia (PA)","52925","74711","80247","89659","96808","108012","99576"
"1507805","Senador José Porfírio (PA)","74027","95153","98045","113430","119237","126968","135571"
"1507904","Soure (PA)","137858","135446","146652","165410","179866","175016","188093"
"1507953","Tailândia (PA)","508561","620710","744110","789823","874419","846793","897743"
"1507961","Terra Alta (PA)","40539","63335","57009","63158","68169","71819","70408"
"1507979","Terra Santa (PA)","346022","304290","399837","484668","458707","527426","510421"
"1508001","Tomé-Açu (PA)","435061","469054","515999","557048","643689","639412","667854"
"1508035","Tracuateua (PA)","133834","181179","187888","187974","231943","248331","215701"
"1508050","Trairão (PA)","155088","201240","212127","226746","310251","329448","294127"
"1508084","Tucumã (PA)","473134","463405","566191","664104","717362","757450","778684"
"1508100","Tucuruí (PA)","2922725","3655059","2950660","4409818","4356154","6461838","7481954"
"1508126","Ulianópolis (PA)","828084","1345826","1210198","1336059","1305409","1245238","1330185"
"1508159","Uruará (PA)","334352","361319","465811","499254","504096","511969","545610"
"1508209","Vigia (PA)","252285","279435","321842","352008","365883","373305","382340"
"1508308","Viseu (PA)","322765","430260","413310","434230","664390","613446","486664"
"1508357","Vitória do Xingu (PA)","154595","373869","451839","805867","966759","3088937","4375711"
"1508407","Xinguara (PA)","569966","710788","858796","1075410","1157432","1218114","1226527"
"1600055","Serra do Navio (AP)","49451","54042","53869","60383","64407","70831","75190"
"1600105","Amapá (AP)","108186","134479","166809","131867","144316","166941","137265"
"1600154","Pedra Branca do Amapari (AP)","263375","356398","290399","288571","297385","281064","311096"
"1600204","Calçoene (AP)","130566","142502","121551","136608","146676","146932","164205"
"1600212","Cutias (AP)","51805","58181","59556","64196","68380","72796","76197"
