codibge,UF,own_2011,own_2012,own_2013,own_2014,own_2015,own_2016,own_2017,own_2018,own_2019
431650,RS,1317592.39,1305351.97,1506428.50,1772945.83,1785080.39,1760405.60,1868191.53,2200611.31,2455686.48
431660,RS,3933915.19,4599307.75,4300526.87,4504545.44,4562391.38,5183129.16,5851770.19,5143191.40,5477432.68
431670,RS,2980751.01,3085065.26,2918577.60,3231391.58,4535546.89,3551558.05,4404186.66,3081324.52,4144912.71
431673,RS,196340.98,98364.02,93585.90,447587.38,271121.68,240167.95,333167.36,294692.87,346465.86
431675,RS,1551583.38,1679374.20,1717087.97,1805423.99,1790774.32,1742740.61,1800196.41,2223731.64,2408053.21
431680,RS,53256203.09,56327414.41,62599848.02,63964781.11,70032439.32,74293848.18,76267586.99,80569163.80,84290678.28
431690,RS,109707676.77,121892921.73,147355904.80,139294734.01,132102113.18,132320790.12,141558314.35,146974060.16,155192445.58
431695,RS,966232.87,958659.25,1101843.68,958286.81,1089165.13,1135700.07,1316776.46,1370655.82,1503224.69
431697,RS,646660.36,569485.75,662825.61,486456.47,1300754.14,1172032.38,1218440.01,1156499.62,1134484.60
431700,RS,1203915.23,1175234.05,1344815.01,1482241.49,1818229.77,1799146.74,1645441.03,2426636.80,2129633.56
431710,RS,18620912.05,18660588.64,17788450.76,20242220.20,20093238.80,21380815.17,19729733.78,20524163.94,19746544.49
431720,RS,28042252.61,31090864.81,31948663.23,33046655.05,33209805.73,31896337.07,36066410.62,40753250.65,43832362.33
431725,RS,262049.99,284424.06,386190.68,286633.16,272427.16,237088.45,267661.14,304934.04,286130.65
431730,RS,8897183.72,9144286.20,12956404.47,19218588.54,14565448.34,16758775.29,16167936.19,12777742.08,14364296.17
431740,RS,13048581.53,13470840.47,14839386.66,15656327.27,15625789.84,15010452.43,16534923.15,18092362.31,18921477.56
431750,RS,27186894.19,28519297.59,29120746.31,29787230.99,26726270.89,24766585.33,27813284.66,29857522.19,32069364.29
431755,RS,333256.19,388765.14,694881.28,380890.28,312224.54,286648.33,485818.16,388813.40,481377.82
431760,RS,16475626.62,16849462.29,17302672.83,17632680.00,16721619.10,17390951.71,17502189.42,14980914.82,18202531.49
431770,RS,2114016.24,2083051.12,2343659.28,2117616.78,1817139.36,1676402.38,1924461.00,2349962.87,2170596.03
431775,RS,1063421.36,1020077.99,854870.94,688679.45,877704.05,570104.11,500204.79,777341.15,759952.13
431780,RS,2745540.52,2926409.73,3001216.79,4402230.15,3061359.16,2835543.03,2975001.74,3447371.71,3731236.37
431790,RS,2794955.18,3029056.35,2962487.12,3195723.57,2798490.80,2555271.74,3430127.77,4805454.29,5547957.04
