codibge,UF,iptu_2011,iptu_2012,iptu_2013,iptu_2014,iptu_2015,iptu_2016,iptu_2017,iptu_2018,iptu_2019
421800,SC,1810600.89,2083441.65,3152939.91,3240180.56,3292943.72,4392208.33,4546736.41,5547994.92,5286915.12
421810,SC,105155.65,57768.93,91937.26,180969.65,151254.13,152819.70,209985.59,317724.61,338212.76
421820,SC,8571027.17,8349095.35,8766309.85,9591432.18,9153798.99,9448191.22,10029188.33,10665992.90,11050521.07
421825,SC,48040.22,54671.85,74942.26,207206.93,162955.67,158701.67,211557.39,169031.75,183674.80
421830,SC,924989.09,969868.09,915777.69,1047369.17,965419.20,913585.61,966837.10,1117810.76,1090574.99
421835,SC,55294.62,56264.97,58550.15,58953.10,56781.31,63690.49,89076.60,80449.80,88806.87
421840,SC,289402.89,340425.77,405078.75,343994.39,647381.22,607859.79,782380.40,750283.81,1049446.07
421850,SC,613224.62,596024.51,667150.18,1062113.72,1070948.17,1080892.26,1266406.28,902383.27,907179.97
421860,SC,406189.38,419623.45,445685.89,479192.86,436513.76,478663.29,566452.39,660059.00,619049.31
421870,SC,18685021.34,19898658.11,21092171.18,21080458.13,20364214.52,19870723.70,24591173.29,34109306.03,35729089.95
421875,SC,114716.10,99559.68,99388.12,96795.69,106586.69,102120.14,147746.85,107863.12,113143.05
421880,SC,1212441.33,1301771.72,1222565.68,1272986.75,1157017.73,1269425.50,1293584.80,1517315.84,1538827.27
421885,SC,165840.81,183625.95,190624.47,183289.51,175002.80,180935.86,205704.82,188674.99,210723.55
421890,SC,586022.40,608194.19,604669.96,581450.75,587545.72,734286.02,860142.99,883214.97,574608.30
421895,SC,51106.15,52036.59,64388.87,63358.02,57151.15,59523.20,64953.44,66651.24,72450.22
421900,SC,1382400.87,1554140.21,2288259.88,2521855.96,2395085.86,2482582.87,2200220.19,1877086.83,1120735.54
421910,SC,224627.69,198784.48,148729.53,241803.65,158860.41,168480.74,180087.79,191654.52,198504.52
421915,SC,21937.84,35508.06,44499.09,50904.61,45563.93,32194.10,47033.06,47636.84,16702.38
421917,SC,46896.22,61746.97,74102.78,67805.24,52143.95,55124.49,62473.77,56849.72,56803.56
421920,SC,156747.34,156968.79,197773.94,177634.07,199295.17,316632.62,295704.05,323336.51,310961.13
421930,SC,5841216.20,6168110.38,7019252.59,7341752.60,8262487.16,8427633.64,8672860.38,8774304.82,8975601.51
421935,SC,138207.30,137846.87,137174.22,163475.76,167649.12,173349.46,220642.97,198254.22,211840.10
421940,SC,93127.13,126983.24,107122.78,98658.21,101942.40,106941.88,117637.83,151090.60,151335.08
421950,SC,6239243.90,5954306.67,5169712.94,4885754.00,4887382.66,4931155.61,5980617.01,5472307.10,6060010.56
